epoch,learning_rate,train_loss,train_accuracy,valid_loss,valid_accuracy,auc_score,auc_ETT - Abnormal,auc_ETT - Borderline,auc_ETT - Normal,auc_NGT - Abnormal,auc_NGT - Borderline,auc_NGT - Incompletely Imaged,auc_NGT - Normal,auc_CVC - Abnormal,auc_CVC - Borderline,auc_CVC - Normal,auc_Swan Ganz Catheter Present
1,0.00010000,0.272233,0.890760,0.237289,0.899953,0.779676,0.874576,0.868418,0.973310,0.747798,0.797247,0.889491,0.900880,0.564936,0.579633,0.549314,0.830835
2,0.00009337,0.245526,0.898610,0.218761,0.905187,0.813488,0.908540,0.912220,0.985369,0.829475,0.843060,0.934761,0.933455,0.574527,0.597749,0.551272,0.877936
3,0.00007525,0.237469,0.901979,0.211251,0.906492,0.839267,0.895620,0.923131,0.985028,0.855210,0.870326,0.950198,0.949452,0.626650,0.615826,0.607795,0.952705
4,0.00005050,0.227135,0.903647,0.194564,0.913732,0.869021,0.913257,0.931572,0.987209,0.846643,0.875099,0.955306,0.953559,0.705619,0.682506,0.718988,0.989471
5,0.00002575,0.214822,0.908092,0.184285,0.917745,0.890228,0.919847,0.932627,0.987822,0.855615,0.889360,0.953718,0.956034,0.781221,0.726218,0.801408,0.988636
6,0.00000763,0.207028,0.910763,0.179831,0.920151,0.892738,0.920928,0.935877,0.988377,0.836311,0.891786,0.957303,0.958178,0.791534,0.738989,0.810619,0.990220
7,0.00000100,0.205607,0.911380,0.177918,0.920961,0.895271,0.926563,0.935808,0.988543,0.839234,0.892587,0.957008,0.960119,0.797258,0.742834,0.816357,0.991671
8,0.00000763,0.203797,0.912653,0.177727,0.921190,0.897123,0.925682,0.936779,0.988349,0.840925,0.892993,0.958270,0.959572,0.805109,0.746371,0.822246,0.992063
9,0.00002575,0.205235,0.912182,0.173370,0.922230,0.902756,0.939321,0.939564,0.989309,0.847868,0.903290,0.961008,0.963325,0.812380,0.752468,0.828486,0.993296
10,0.00005050,0.204676,0.912883,0.178227,0.921601,0.901450,0.925793,0.930889,0.987606,0.831720,0.898439,0.957551,0.960923,0.833355,0.756017,0.839659,0.993999
11,0.00007525,0.205175,0.913524,0.175903,0.923608,0.900607,0.907792,0.934533,0.987195,0.844644,0.894888,0.962408,0.962801,0.832056,0.757427,0.827704,0.995233
12,0.00009337,0.202355,0.914882,0.180490,0.919244,0.902836,0.933708,0.937169,0.988158,0.846236,0.889435,0.952560,0.962417,0.830011,0.764161,0.836366,0.990976
13,0.00010000,0.201363,0.915671,0.174150,0.924321,0.910917,0.945733,0.940514,0.989273,0.859745,0.901897,0.952654,0.959251,0.851211,0.778781,0.847062,0.993974
14,0.00009337,0.197880,0.917126,0.169786,0.926231,0.912136,0.932109,0.940021,0.988330,0.858790,0.899730,0.960103,0.962424,0.857150,0.784218,0.856039,0.994584
15,0.00007525,0.191209,0.920821,0.169699,0.928116,0.915895,0.951249,0.946135,0.990335,0.848235,0.906155,0.961975,0.967271,0.854570,0.791200,0.863494,0.994224
16,0.00005050,0.183760,0.924122,0.161738,0.930014,0.923196,0.960845,0.949726,0.990487,0.891197,0.904504,0.965927,0.969262,0.858175,0.800886,0.874147,0.989997
17,0.00002575,0.178783,0.926495,0.164146,0.932105,0.923134,0.959801,0.950326,0.990541,0.857771,0.913116,0.963207,0.970486,0.878914,0.798708,0.879454,0.992145
18,0.00000763,0.172085,0.929110,0.159526,0.933725,0.927694,0.961734,0.951775,0.990479,0.886639,0.915022,0.965449,0.971590,0.881756,0.805808,0.879818,0.994567
19,0.00000100,0.169763,0.930549,0.159211,0.934317,0.927878,0.964362,0.952557,0.990674,0.880814,0.915555,0.965610,0.971850,0.884470,0.805931,0.881150,0.993685
20,0.00000763,0.170383,0.930295,0.163897,0.931864,0.923956,0.955536,0.951069,0.990196,0.861661,0.906352,0.966394,0.971074,0.880748,0.806944,0.879304,0.994243
21,0.00002575,0.172849,0.929517,0.163740,0.931839,0.922179,0.965480,0.949351,0.989651,0.854078,0.907556,0.965622,0.971039,0.879845,0.799715,0.869869,0.991759
22,0.00005050,0.175050,0.928329,0.173183,0.926533,0.916059,0.945518,0.945770,0.988813,0.858859,0.907371,0.961439,0.966274,0.871888,0.780727,0.863205,0.986790
